file,encoding,delimiter,bytes,fields,rows,valid,errors,validPackage,frictionLessError,downloadURL
1,iso8859-1,",",3090,7,85,false,3,false,0,http://dati.comune.matera.it/dataset/8afefc12-85e0-4e2f-8b11-733bb95b1bf7/resource/d9abc58b-74fb-413e-a3d8-45baecc9218e/download/stranieriresidenti2013.csv
1,iso8859-1,",",3090,7,85,false,3,false,0,http://dati.comune.matera.it/dataset/8afefc12-85e0-4e2f-8b11-733bb95b1bf7/resource/d9abc58b-74fb-413e-a3d8-45baecc9218e/download/stranieriresidenti2013.csv
1,iso8859-1,",",3090,7,85,false,3,false,0,http://dati.comune.matera.it/dataset/8afefc12-85e0-4e2f-8b11-733bb95b1bf7/resource/d9abc58b-74fb-413e-a3d8-45baecc9218e/download/stranieriresidenti2013.csv
1,iso8859-1,",",3090,7,85,false,3,false,0,http://dati.comune.matera.it/dataset/8afefc12-85e0-4e2f-8b11-733bb95b1bf7/resource/d9abc58b-74fb-413e-a3d8-45baecc9218e/download/stranieriresidenti2013.csv
2,utf-8,",",7385,19,115,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTqcIsPZ4iSksNvmPTsfiDOY3qDIn6VURMCbOxdbF2vVDKFRSUb43RijbZBoQ8rRa_iFXcXfEmqzQYc/pub?output=csv
2,utf-8,",",7385,19,115,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTqcIsPZ4iSksNvmPTsfiDOY3qDIn6VURMCbOxdbF2vVDKFRSUb43RijbZBoQ8rRa_iFXcXfEmqzQYc/pub?output=csv
2,utf-8,",",7385,19,115,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTqcIsPZ4iSksNvmPTsfiDOY3qDIn6VURMCbOxdbF2vVDKFRSUb43RijbZBoQ8rRa_iFXcXfEmqzQYc/pub?output=csv
2,utf-8,",",7385,19,115,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTqcIsPZ4iSksNvmPTsfiDOY3qDIn6VURMCbOxdbF2vVDKFRSUb43RijbZBoQ8rRa_iFXcXfEmqzQYc/pub?output=csv
3,iso8859-1,",",1274,3,91,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRuRuGZ2wIWoYRdNLfIxEN1vaNE4LDGOUBAPFqLgncShr6DKHbd7volFYnxha9i6oaAhcCODRyFDVQ-/pub?output=csv
3,iso8859-1,",",1274,3,91,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRuRuGZ2wIWoYRdNLfIxEN1vaNE4LDGOUBAPFqLgncShr6DKHbd7volFYnxha9i6oaAhcCODRyFDVQ-/pub?output=csv
3,iso8859-1,",",1274,3,91,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRuRuGZ2wIWoYRdNLfIxEN1vaNE4LDGOUBAPFqLgncShr6DKHbd7volFYnxha9i6oaAhcCODRyFDVQ-/pub?output=csv
3,iso8859-1,",",1274,3,91,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRuRuGZ2wIWoYRdNLfIxEN1vaNE4LDGOUBAPFqLgncShr6DKHbd7volFYnxha9i6oaAhcCODRyFDVQ-/pub?output=csv
4,utf-8,",",807,6,9,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSu25G8InD7wYA7_ELfYRbRp_NdXSJHYM8QkpH7SwnuHqK_bZ_LNNklVxTCTxzTxsb0SZub2Nf9KRCE/pub?output=csv
