@rdf:about,dcat:accessURL:@rdf:resource,dct:title,dct:license:@rdf:resource,dct:format:@rdf:resource,dct:description,id
http://dati.comune.matera.it/dataset/8afefc12-85e0-4e2f-8b11-733bb95b1bf7/resource/d9abc58b-74fb-413e-a3d8-45baecc9218e,http://dati.comune.matera.it/dataset/8afefc12-85e0-4e2f-8b11-733bb95b1bf7/resource/d9abc58b-74fb-413e-a3d8-45baecc9218e/download/stranieriresidenti2013.csv,StranieriResidenti2013.csv,https://creativecommons.org/licenses/by/4.0/,http://publications.europa.eu/resource/authority/file-type/CSV,"Popolazione straniera residente nel comune di Matera per Area Geografica, Nazionalità, sesso e rapporto percentuale (ultima colonna) tra ogni singola Nazionalità ed il totale dei cittadini stranieri residenti nel Comune. I dati sono di fonte ed elaborazione dell'Ufficio Statistica.",
http://dati.comune.matera.it/dataset/4f3b29d4-fe79-4483-b720-884478ec6713/resource/0e79fd6c-b6c4-42b6-98eb-38e08f2ee5b5,https://docs.google.com/spreadsheets/d/e/2PACX-1vTqcIsPZ4iSksNvmPTsfiDOY3qDIn6VURMCbOxdbF2vVDKFRSUb43RijbZBoQ8rRa_iFXcXfEmqzQYc/pub?output=csv,Residenti sassi csv,https://creativecommons.org/licenses/by/4.0/,http://publications.europa.eu/resource/authority/file-type/CSV,File in formato CSV,
http://dati.comune.matera.it/dataset/81ebb1fa-26e9-4423-ac49-204f43f3c612/resource/003a4368-4e9d-498e-8eac-1b1861a46862,https://docs.google.com/spreadsheets/d/e/2PACX-1vRuRuGZ2wIWoYRdNLfIxEN1vaNE4LDGOUBAPFqLgncShr6DKHbd7volFYnxha9i6oaAhcCODRyFDVQ-/pub?output=csv,stranieri residenti per cittadinanza e sesso,https://creativecommons.org/licenses/by/4.0/,http://publications.europa.eu/resource/authority/file-type/CSV,Stranieri residenti per cittadinanza e sesso in csv,
http://dati.comune.matera.it/dataset/be7396a2-baea-403b-a330-72252dc29ec8/resource/4016495c-b82a-4669-afa3-d9ad7d59a8a8,https://docs.google.com/spreadsheets/d/e/2PACX-1vSu25G8InD7wYA7_ELfYRbRp_NdXSJHYM8QkpH7SwnuHqK_bZ_LNNklVxTCTxzTxsb0SZub2Nf9KRCE/pub?output=csv,erboristerie.csv,https://creativecommons.org/licenses/by/4.0/,http://publications.europa.eu/resource/authority/file-type/CSV,Elenco aggiornato in formato CSV,
http://dati.comune.matera.it/dataset/44beed86-8a16-4fce-9123-058aa4e4dbcf/resource/cc745c12-5a9a-445e-9ad5-a6ef814b5a5e,http://dati.comune.matera.it/dataset/44beed86-8a16-4fce-9123-058aa4e4dbcf/resource/cc745c12-5a9a-445e-9ad5-a6ef814b5a5e/download/water.csv,water.csv,https://creativecommons.org/licenses/by/4.0/,http://publications.europa.eu/resource/authority/file-type/CSV,file in formato csv,
http://dati.comune.matera.it/dataset/4757c9ae-5ebf-46cf-8bae-0901980db77e/resource/a3742dba-921f-4651-84ca-7c740a336752,https://docs.google.com/spreadsheets/d/e/2PACX-1vQvWfG8BPxw2BlaGvyEjBrvO1jDkVkG0N4kBhtpPdIyy9dUwP28XWRXp1DVo5d_qnCYkYY0ShvO9eas/pub?gid=1443229876&single=true&output=csv,bilancio-demografico-mensile-della-popolazione-residente-della-citta-di-matera-anno-2018,https://creativecommons.org/licenses/by/4.0/,http://publications.europa.eu/resource/authority/file-type/CSV,Riepilogo mensile incidenti stradali per numerosità feriti in csv,
http://dati.comune.matera.it/dataset/53b5b4f4-cc24-40a4-afe1-01e3d2939817/resource/a3a53aa8-4c10-4fea-ba88-346e1380ac7d,http://servizionline.comune.mt.it:80/atc/files/MATERA/avcp.csv,DetermineCSV,https://creativecommons.org/licenses/by/4.0/,http://publications.europa.eu/resource/authority/file-type/CSV,File in formato CSV,
http://dati.comune.matera.it/dataset/366c8268-267c-432c-ad1a-6f7beeb2b4f8/resource/57b83050-2e92-4fd4-b560-9f6a147df847,http://wgmatera.paesit.it/geoserver/wfs?typename=geonode%3Aaree_boscate&outputFormat=csv&version=1.0.0&request=GetFeature&service=WFS,csv,https://creativecommons.org/licenses/by/4.0/,http://publications.europa.eu/resource/authority/file-type/CSV,File in formato CSV,
http://dati.comune.matera.it/dataset/6c8c643e-a9bf-46b8-9785-54f44141fbf8/resource/9580a7d0-15cb-46fd-b289-e03309bcd72a,https://docs.google.com/spreadsheets/d/e/2PACX-1vTj3s9jj7shHskVEx4uox9IDn0TQomgYiZ8whfZbvOpvLqWkxrxVV17OCsoJrqmvfWSrG1n5GCZT1Qn/pub?gid=522415089&single=true&output=csv,B&B,https://creativecommons.org/licenses/by/4.0/,http://publications.europa.eu/resource/authority/file-type/CSV,File in formato CSV,
http://dati.comune.matera.it/dataset/14590314-ad58-488f-98a3-9c289c3325ea/resource/fc81502d-2bad-4f59-9a39-7bf205102e93,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=1387299694&single=true&output=csv,riepilogo-incidenti-stradali-anno-2017-avvenuti-nel-comune-di-matera,https://creativecommons.org/licenses/by/4.0/,http://publications.europa.eu/resource/authority/file-type/CSV,Tipologia sinistro in csv,
