error,file,count
type-error,100.csv,1
duplicate-label,102.csv,1
blank-label,103.csv,5
blank-row,103.csv,1
blank-row,11.csv,2
blank-row,116.csv,157
blank-label,118.csv,8
blank-row,118.csv,50
duplicate-label,12.csv,2
blank-label,120.csv,2
type-error,121.csv,1
type-error,122.csv,1
blank-row,124.csv,23
blank-label,127.csv,1
duplicate-label,129.csv,3
blank-label,129.csv,3
blank-row,129.csv,1
blank-label,131.csv,1
blank-row,131.csv,41
blank-label,141.csv,8
blank-row,141.csv,3
blank-row,143.csv,73
blank-label,145.csv,7
type-error,147.csv,1
type-error,148.csv,1
blank-label,150.csv,2
blank-row,151.csv,197
blank-label,152.csv,11
blank-row,152.csv,1
blank-label,159.csv,17
blank-row,159.csv,50
type-error,161.csv,13
blank-label,162.csv,4
duplicate-label,162.csv,1
blank-row,162.csv,12
blank-row,164.csv,2
duplicate-label,165.csv,3
blank-label,168.csv,1
type-error,168.csv,1
type-error,169.csv,2
duplicate-label,171.csv,1
type-error,171.csv,258
blank-label,172.csv,1
blank-row,172.csv,50
blank-row,174.csv,4
duplicate-label,175.csv,2
duplicate-label,179.csv,2
blank-label,179.csv,1
type-error,179.csv,2
blank-row,179.csv,1
duplicate-label,180.csv,1
blank-label,185.csv,3
blank-row,185.csv,16
blank-row,191.csv,16
blank-label,194.csv,2
blank-row,194.csv,19
duplicate-label,198.csv,3
blank-label,198.csv,3
blank-row,198.csv,4
blank-label,199.csv,3
duplicate-label,204.csv,1
blank-row,204.csv,1
duplicate-label,210.csv,7
blank-row,213.csv,11
blank-row,214.csv,404
type-error,215.csv,1
blank-label,218.csv,3
blank-row,218.csv,15
type-error,22.csv,204
blank-label,220.csv,241
blank-row,220.csv,759
blank-row,223.csv,26
blank-label,224.csv,1
blank-row,224.csv,10
duplicate-label,238.csv,1
blank-row,238.csv,3
duplicate-label,240.csv,10
blank-label,240.csv,1
blank-row,240.csv,4
blank-row,243.csv,19
type-error,246.csv,13
type-error,252.csv,1
duplicate-label,254.csv,2
duplicate-label,256.csv,5
blank-row,256.csv,36
blank-label,26.csv,80
blank-row,26.csv,19
type-error,268.csv,12
blank-row,272.csv,26
blank-label,273.csv,2
type-error,274.csv,3
duplicate-label,279.csv,10
blank-label,279.csv,3
blank-row,280.csv,29
blank-label,281.csv,2
blank-label,283.csv,2
blank-label,290.csv,2
blank-row,290.csv,4
blank-row,291.csv,28
blank-label,292.csv,1
blank-row,292.csv,12
blank-label,294.csv,17
blank-row,294.csv,53
blank-row,295.csv,20
duplicate-label,302.csv,1
blank-row,303.csv,11
duplicate-label,304.csv,11
blank-row,304.csv,13
blank-row,305.csv,65
blank-label,31.csv,2
blank-label,311.csv,1
blank-label,312.csv,3
blank-row,312.csv,41
duplicate-label,314.csv,1
type-error,317.csv,1
duplicate-label,32.csv,14
blank-label,320.csv,17
blank-row,320.csv,62
duplicate-label,321.csv,6
blank-label,321.csv,3
blank-row,321.csv,6
blank-label,322.csv,17
blank-row,322.csv,56
blank-label,323.csv,6
blank-row,324.csv,3
duplicate-label,327.csv,6
blank-label,329.csv,52
blank-row,329.csv,77
blank-row,330.csv,9
duplicate-label,331.csv,14
blank-label,337.csv,52
blank-row,337.csv,77
blank-row,340.csv,2
blank-label,342.csv,1
blank-row,342.csv,73
blank-label,344.csv,2
blank-row,344.csv,13
blank-row,345.csv,24
duplicate-label,347.csv,26
blank-label,347.csv,2
blank-row,347.csv,91
duplicate-label,354.csv,4
duplicate-label,355.csv,1
duplicate-label,357.csv,5
blank-label,358.csv,1
blank-row,358.csv,1
duplicate-label,361.csv,1
blank-row,361.csv,49
blank-row,363.csv,17
blank-row,364.csv,3
blank-label,365.csv,2
blank-row,365.csv,69
duplicate-label,367.csv,4
blank-row,368.csv,28
blank-label,373.csv,1
blank-row,373.csv,26
blank-row,376.csv,248
blank-row,378.csv,45
blank-row,379.csv,26
blank-label,383.csv,8
blank-row,383.csv,23
duplicate-label,384.csv,1
blank-label,384.csv,19
blank-row,384.csv,5
blank-label,385.csv,1
blank-row,385.csv,24
duplicate-label,386.csv,1
duplicate-label,387.csv,2
duplicate-label,392.csv,5
blank-row,393.csv,1
type-error,398.csv,5
blank-label,399.csv,17
blank-row,399.csv,59
blank-row,40.csv,16
blank-label,403.csv,1
blank-row,403.csv,3
blank-label,404.csv,2
blank-row,404.csv,8
blank-row,408.csv,3
blank-label,409.csv,17
blank-row,409.csv,59
duplicate-label,41.csv,2
blank-label,410.csv,5
blank-row,410.csv,15
blank-label,45.csv,2
blank-row,45.csv,5
duplicate-label,46.csv,4
blank-row,50.csv,6
type-error,51.csv,15
blank-label,52.csv,3
blank-row,52.csv,10
blank-label,53.csv,5
blank-row,53.csv,30
blank-label,54.csv,1
duplicate-label,57.csv,6
blank-label,57.csv,2
blank-row,57.csv,26
type-error,6.csv,1
blank-label,60.csv,3
type-error,62.csv,1
duplicate-label,64.csv,1
blank-label,65.csv,17
blank-row,65.csv,59
duplicate-label,68.csv,5
blank-row,72.csv,89
blank-row,74.csv,59
duplicate-label,78.csv,1
blank-label,78.csv,3
type-error,79.csv,258
blank-label,83.csv,3
duplicate-label,83.csv,2
blank-row,83.csv,14
blank-row,85.csv,7
blank-label,88.csv,2
blank-row,88.csv,1
blank-row,90.csv,2
type-error,98.csv,7
