file,type-error,duplicate-label,blank-label,blank-row,incorrect-label
100.csv,1,,,,
102.csv,,1,,,
103.csv,,,5,1,
11.csv,,,,2,
116.csv,,,,157,
118.csv,,,8,50,
12.csv,,2,,,
120.csv,,,2,,
121.csv,1,,,,21
122.csv,1,,,,
124.csv,,,,23,
125.csv,,,,,4
127.csv,,,1,,
129.csv,,3,3,1,
131.csv,,,1,41,
141.csv,,,8,3,
143.csv,,,,73,
145.csv,,,7,,
147.csv,1,,,,
148.csv,1,,,,
150.csv,,,2,,
151.csv,,,,197,
152.csv,,,11,1,
159.csv,,,17,50,
160.csv,,,,,12
161.csv,13,,,,
162.csv,,1,4,12,
164.csv,,,,2,
165.csv,,3,,,
168.csv,1,,1,,
169.csv,2,,,,10
17.csv,,,,,2
171.csv,258,1,,,
172.csv,,,1,50,
174.csv,,,,4,
175.csv,,2,,,
177.csv,,,,,1
179.csv,2,2,1,1,
180.csv,,1,,,
181.csv,,,,,27
185.csv,,,3,16,
187.csv,,1,,,
191.csv,,,,16,
194.csv,,,2,19,
198.csv,,3,3,4,
199.csv,,,3,,
204.csv,,1,,1,
210.csv,,7,,,
213.csv,,,,11,
214.csv,,,,404,
215.csv,1,,,,
218.csv,,,3,15,
22.csv,204,,,,
220.csv,,,241,759,
223.csv,,,,26,
224.csv,,,1,10,
238.csv,,1,,3,
240.csv,,10,1,4,
243.csv,,,,19,
246.csv,13,,,,
252.csv,1,,,,
254.csv,,2,,,
256.csv,,5,,36,
26.csv,,,80,19,
268.csv,12,,,,
272.csv,,,,26,
273.csv,,,2,,
274.csv,3,,,,
279.csv,,10,3,,
280.csv,,,,29,
281.csv,,,2,,
283.csv,,,2,,
290.csv,,,2,4,
291.csv,,,,28,
292.csv,,,1,12,
294.csv,,,17,53,
295.csv,,,,20,
302.csv,,1,,,
303.csv,,,,11,
304.csv,,11,,13,
305.csv,,,,65,
31.csv,,,2,,
311.csv,,,1,,
312.csv,,,3,41,
314.csv,,1,,,1
317.csv,1,,,,
32.csv,,14,,,
320.csv,,,17,62,
321.csv,,6,3,6,
322.csv,,,17,56,
323.csv,,,6,,
324.csv,,,,3,
327.csv,,6,,,
329.csv,,,52,77,
330.csv,,,,9,
331.csv,,14,,,
332.csv,,,,,1
337.csv,,,52,77,
340.csv,,,,2,
342.csv,,,1,73,
344.csv,,,2,13,
345.csv,,,,24,
347.csv,,26,2,91,
354.csv,,4,,,
355.csv,,1,,,
357.csv,,5,,,2
358.csv,,,1,1,
361.csv,,1,,49,
363.csv,,,,17,
364.csv,,,,3,
365.csv,,,2,69,1
367.csv,,4,,,
368.csv,,,,28,12
373.csv,,,1,26,
376.csv,,,,248,
378.csv,,,,45,
379.csv,,,,26,
383.csv,,,8,23,
384.csv,,1,19,5,
385.csv,,,1,24,
386.csv,,1,,,
387.csv,,2,,,
390.csv,,,,,5
392.csv,,5,,,
393.csv,,,,1,
397.csv,,,,,1
398.csv,5,,,,
399.csv,,,17,59,
40.csv,,,,16,
403.csv,,,1,3,
404.csv,,,2,8,
408.csv,,,,3,
409.csv,,,17,59,
41.csv,,2,,,
410.csv,,,5,15,
45.csv,,,2,5,
46.csv,,4,,,
50.csv,,,,6,
51.csv,15,,,,
52.csv,,,3,10,
53.csv,,,5,30,
54.csv,,,1,,
57.csv,,6,2,26,
6.csv,1,,,,
60.csv,,,3,,
62.csv,1,,,,
64.csv,,1,,,1
65.csv,,,17,59,
67.csv,,,,,23
68.csv,,5,,,
71.csv,,,,,1
72.csv,,,,89,1
74.csv,,,,59,
78.csv,,1,3,,
79.csv,258,,,,
83.csv,,2,3,14,
85.csv,,,,7,
88.csv,,,2,1,
89.csv,,,,,2
90.csv,,,,2,
98.csv,7,,,,
